"No","Time","Source","Destination","Protocol","Length","Info","cat",""
"1","0.000000","192.168.100.15","192,168,100,255","NBNS","92","Name query NB WORKGROUP<1d>","Normal",""
"2","0.526212","192.168.100.15","192.168.100.1","DNS","87","Standard query 0xe255 PTR 15.100.168.192.in-addr.arpa","Normal",""
"3","0.526285","192.168.100.15","192.168.100.1","DNS","88","Standard query 0xfadd PTR 255.100.168.192.in-addr.arpa","Normal",""
"4","0.537127","192.168.100.1","192.168.100.15","DNS","87","Standard query response 0xe255 No such name PTR 15.100.168.192.in-addr.arpa","Normal",""
"5","0.541615","192.168.100.1","192.168.100.15","DNS","145","Standard query response 0xfadd No such name PTR 255.100.168.192.in-addr.arpa SOA ns1.rdsnet.ro","Normal",""
"6","0.554340","2a02:2f0a:e20d:9200:3c7a:2329:c1be:f91f","2001:4860:4802:32::180","TLSv1.2","125","Application Data","Normal",""
"7","0.572637","2001:4860:4802:32::180","2a02:2f0a:e20d:9200:3c7a:2329:c1be:f91f","TCP","86","https(443) → 58453 [ACK] Seq=1 Ack=40 Win=1045 Len=0 TSval=583961432 TSecr=887146188","Normal",""
"8","0.572642","2001:4860:4802:32::180","2a02:2f0a:e20d:9200:3c7a:2329:c1be:f91f","TLSv1.2","125","Application Data","Normal",""
"9","0.573036","2a02:2f0a:e20d:9200:3c7a:2329:c1be:f91f","2001:4860:4802:32::180","TCP","86","58453 → https(443) [ACK] Seq=40 Ack=40 Win=2047 Len=0 TSval=887146207 TSecr=583961432","Normal",""
"10","0.879111","192.168.100.30","mdns.mcast.net","MDNS","175","Standard query 0x0000 PTR _companion-link._tcp.local, ""QM"" question PTR _rdlink._tcp.local, ""QM"" question PTR _homekit._tcp.local, ""QM"" question PTR _sleep-proxy._udp.local, ""QM"" question PTR Andrei MacBook 13 Pro._companion-link._tcp.local","Normal",""
